罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,施錠関係,盗難防止装置の有無,現金以外の主な被害品
窃盗,自動車盗,浦安,富岡,122271,千葉県,浦安市,弁天３丁目,20240223,16,一戸建住宅,その他,キーなし,あり,乗用自動車
窃盗,自動車盗,浦安,富士見,122271,千葉県,浦安市,富士見４丁目,20240223,17,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,浦安,舞浜駅前,122271,千葉県,浦安市,舞浜,20240717,17,一戸建住宅,その他,キーなし,あり,乗用自動車
窃盗,自動車盗,浦安,日の出,122271,千葉県,浦安市,明海２丁目,20240530,23,一戸建住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,浦安,日の出,122271,千葉県,浦安市,明海４丁目,20240807,18,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,浦安,日の出,122271,千葉県,浦安市,高洲３丁目,20240521,23,一戸建住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,浦安,日の出,122271,千葉県,浦安市,高洲３丁目,20240703,22,一戸建住宅,駐車（輪）場,キーなし,あり,なし
窃盗,自動車盗,浦安,日の出,122271,千葉県,浦安市,高洲６丁目,20240817,9,４階建て以上共同住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,浦安,日の出,122271,千葉県,浦安市,高洲８丁目,20240805,16,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,松戸,北松戸,122076,千葉県,松戸市,上本郷,20240703,2,駐車（輪）場,駐車（輪）場,キーなし,なし,なし
窃盗,自動車盗,松戸,北松戸,122076,千葉県,松戸市,上本郷,20241206,19,その他,駐車（輪）場,キーあり,あり,乗用自動車
窃盗,自動車盗,松戸,北松戸,122076,千葉県,松戸市,南花島２丁目,20241026,17,駐車（輪）場,駐車（輪）場,キーあり,なし,貨物自動車
窃盗,自動車盗,松戸,新松戸,122076,千葉県,松戸市,新松戸７丁目,20240110,16,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,松戸,新松戸,122076,千葉県,松戸市,新松戸７丁目,20240814,0,その他,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,松戸,新松戸,122076,千葉県,松戸市,横須賀２丁目,20240711,22,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,松戸,東松戸,122076,千葉県,松戸市,紙敷,20241104,21,その他,駐車（輪）場,キーなし,なし,貨物自動車
窃盗,自動車盗,松戸,東松戸,122076,千葉県,松戸市,東松戸１丁目,20220710,14,４階建て以上共同住宅,駐車（輪）場,キーなし,あり,なし
窃盗,自動車盗,松戸,東松戸,122076,千葉県,松戸市,東松戸１丁目,20240716,12,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,松戸,東松戸,122076,千葉県,松戸市,東松戸４丁目,20241129,2,一戸建住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,松戸,二十世紀が丘,122076,千葉県,松戸市,秋山１丁目,20240408,12,４階建て以上共同住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,松戸,二十世紀が丘,122076,千葉県,松戸市,松戸,20240416,2,その他,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,松戸,二十世紀が丘,122076,千葉県,松戸市,和名ケ谷,20240105,2,その他,その他,キーあり,なし,乗用自動車
窃盗,自動車盗,松戸,二十世紀が丘,122076,千葉県,松戸市,和名ケ谷,20240415,21,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,松戸,二十世紀が丘,122076,千葉県,松戸市,和名ケ谷,20240415,18,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,なし
窃盗,自動車盗,松戸,松戸駅前,122076,千葉県,松戸市,小山,20240520,19,４階建て以上共同住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,松戸,松戸駅前,122076,千葉県,松戸市,根本,20240121,21,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,松戸,松戸駅前,122076,千葉県,松戸市,本町,20240314,11,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,松戸,松戸駅前,122076,千葉県,松戸市,松戸,20240427,14,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,松戸,松飛台,122076,千葉県,松戸市,五香西２丁目,20240703,22,一戸建住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,松戸,馬橋西,122076,千葉県,松戸市,西馬橋蔵元町,20241111,21,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,松戸,馬橋西,122076,千葉県,松戸市,西馬橋幸町,20240512,20,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,松戸,馬橋西,122076,千葉県,松戸市,西馬橋広手町,20240826,21,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,松戸,馬橋西,122076,千葉県,松戸市,西馬橋３丁目,20240820,16,駐車（輪）場,駐車（輪）場,キーあり,なし,貨物自動車
窃盗,自動車盗,松戸,稔台,122076,千葉県,松戸市,仲井町３丁目,20240621,19,４階建て以上共同住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,松戸,八柱,122076,千葉県,松戸市,日暮３丁目,20240310,23,駐車（輪）場,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,松戸,八柱,122076,千葉県,松戸市,日暮６丁目,20241206,21,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,松戸,八柱,122076,千葉県,松戸市,日暮８丁目,20240407,12,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,松戸,八柱,122076,千葉県,松戸市,牧の原１丁目,20240919,18,その他,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,松戸,小根本,122076,千葉県,松戸市,岩瀬,20240623,17,４階建て以上共同住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,松戸,小根本,122076,千葉県,松戸市,緑ケ丘１丁目,20240526,13,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,松戸,小根本,122076,千葉県,松戸市,緑ケ丘１丁目,20240921,11,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,松戸,栄町,122076,千葉県,松戸市,古ケ崎,20240714,20,駐車（輪）場,駐車（輪）場,キーなし,あり,なし
窃盗,自動車盗,松戸,栄町,122076,千葉県,松戸市,栄町７丁目,20241006,19,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,松戸,栄町,122076,千葉県,松戸市,栄町西２丁目,20240522,21,一戸建住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,松戸,栄町,122076,千葉県,松戸市,栄町西３丁目,20240219,20,一戸建住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,野田,川間駅前,122084,千葉県,野田市,岩名２丁目,20240309,20,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,野田,川間駅前,122084,千葉県,野田市,尾崎,20240307,23,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,野田,川間駅前,122084,千葉県,野田市,中里,20240527,22,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,野田,川間駅前,122084,千葉県,野田市,蕃昌,20241106,18,その他,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,野田,川間駅前,122084,千葉県,野田市,船形,20240810,21,駐車（輪）場,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,野田,川間駅前,122084,千葉県,野田市,船形,20241020,0,その他,その他,キーあり,あり,乗用自動車
窃盗,自動車盗,野田,川間駅前,122084,千葉県,野田市,谷津,20240810,10,その他,その他,キーなし,なし,その他
窃盗,自動車盗,野田,川間駅前,122084,千葉県,野田市,岡田,20240525,11,その他,その他,キーあり,なし,貨物自動車
窃盗,自動車盗,野田,川間駅前,122084,千葉県,野田市,光葉町１丁目,20240216,3,一戸建住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,野田,川間駅前,122084,千葉県,野田市,光葉町１丁目,20240307,22,一戸建住宅,駐車（輪）場,キーなし,あり,なし
窃盗,自動車盗,野田,川間駅前,122084,千葉県,野田市,光葉町２丁目,20240213,23,一戸建住宅,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,野田,梅郷駅前,122084,千葉県,野田市,堤根,20240131,0,その他,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,野田,梅郷駅前,122084,千葉県,野田市,堤根,20240215,2,一戸建住宅,駐車（輪）場,キーなし,なし,なし
窃盗,自動車盗,野田,梅郷駅前,122084,千葉県,野田市,堤根,20240214,20,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,野田,梅郷駅前,122084,千葉県,野田市,堤根,20241128,18,その他,駐車（輪）場,キーあり,あり,乗用自動車
窃盗,自動車盗,野田,梅郷駅前,122084,千葉県,野田市,花井,20240308,22,一戸建住宅,駐車（輪）場,キーあり,あり,乗用自動車
窃盗,自動車盗,野田,梅郷駅前,122084,千葉県,野田市,花井１丁目,20240311,20,一戸建住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,野田,梅郷駅前,122084,千葉県,野田市,山崎,20241127,20,その他,その他,キーなし,なし,貨物自動車
窃盗,自動車盗,野田,梅郷駅前,122084,千葉県,野田市,山崎貝塚町,20240410,21,駐車（輪）場,駐車（輪）場,キーあり,あり,乗用自動車
窃盗,自動車盗,野田,梅郷駅前,122084,千葉県,野田市,山崎梅の台,20240118,20,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,野田,梅郷駅前,122084,千葉県,野田市,みずき４丁目,20240118,20,一戸建住宅,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,野田,梅郷駅前,122084,千葉県,野田市,みずき４丁目,20240919,11,一戸建住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,野田,梅郷駅前,122084,千葉県,野田市,木間ケ瀬,20240321,11,その他,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,野田,梅郷駅前,122084,千葉県,野田市,山崎新町,20240315,3,一戸建住宅,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,野田,野田市駅前,122084,千葉県,野田市,清水,20240405,23,一戸建住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,野田,野田市駅前,122084,千葉県,野田市,清水,20240523,14,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,野田,野田市駅前,122084,千葉県,野田市,堤台,20240307,19,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,野田,野田市駅前,122084,千葉県,野田市,鶴奉,20240330,16,その他,駐車（輪）場,キーなし,なし,貨物自動車
窃盗,自動車盗,野田,野田市駅前,122084,千葉県,野田市,鶴奉,20241104,3,その他,駐車（輪）場,キーなし,なし,なし
窃盗,自動車盗,野田,野田市駅前,122084,千葉県,野田市,中根,20240307,9,道路上,その他,キーあり,なし,貨物自動車
窃盗,自動車盗,野田,野田市駅前,122084,千葉県,野田市,野田,20240704,12,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,野田,野田市駅前,122084,千葉県,野田市,桜の里１丁目,20240508,22,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,野田,野田市駅前,122084,千葉県,野田市,桜の里３丁目,20240309,20,一戸建住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,野田,野田市駅前,122084,千葉県,野田市,桜の里３丁目,20240307,17,一戸建住宅,駐車（輪）場,キーなし,あり,なし
窃盗,自動車盗,野田,野田市駅前,122084,千葉県,野田市,桜の里３丁目,20240513,19,一戸建住宅,駐車（輪）場,キーあり,あり,乗用自動車
